frame,timestamp,confidence,success,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0.0,0.98,1,18.1,75.8,509.7,0.254,0.154,0.009000000000000001,-0.03537,0.311583,-0.9495600000000001,-0.358958,0.358668,-0.8616879999999999,-0.214,0.354,0.0,0.12,0.0,0.12,0.95,1.72,0.02,0.89,0.57,1.0,0.0,0.63,0.0,1.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.033,0.98,1,18.1,75.4,508.2,0.247,0.149,0.011000000000000001,-0.042893,0.31352399999999997,-0.9486110000000001,-0.329061,0.35047,-0.876864,-0.201,0.349,0.0,0.43,0.0,0.04,1.15,1.58,0.06,1.21,0.77,1.15,0.0,0.67,0.01,1.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.067,0.98,1,18.1,75.5,508.9,0.251,0.151,0.01,-0.049992,0.314855,-0.9478219999999999,-0.318235,0.353551,-0.879618,-0.19899999999999998,0.35100000000000003,0.0,0.63,0.0,0.0,1.25,1.51,0.07,1.36,0.88,1.22,0.0,0.71,0.01,1.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,0.98,1,18.0,75.5,508.8,0.25,0.151,0.01,-0.046665,0.316314,-0.947506,-0.31498000000000004,0.352299,-0.88129,-0.195,0.35100000000000003,0.0,0.66,0.0,0.0,1.26,1.5,0.05,1.34,0.89,1.23,0.0,0.71,0.01,1.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.133,0.98,1,18.1,75.5,508.9,0.25,0.151,0.01,-0.049849,0.315118,-0.947742,-0.313844,0.352704,-0.881534,-0.196,0.35,0.0,0.68,0.0,0.0,1.26,1.45,0.05,1.33,0.89,1.26,0.0,0.72,0.02,1.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.16699999999999998,0.98,1,18.1,75.5,508.8,0.251,0.151,0.01,-0.049208999999999996,0.31635100000000005,-0.947365,-0.315334,0.353244,-0.8807860000000001,-0.19699999999999998,0.35100000000000003,0.0,0.64,0.0,0.09,1.3,1.63,0.07,1.3,0.87,1.25,0.0,0.65,0.06,1.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2,0.98,1,16.1,71.3,510.7,0.212,0.155,0.017,-0.047054,0.291225,-0.9554969999999999,-0.29307,0.327323,-0.898315,-0.18100000000000002,0.322,0.0,0.76,0.0,0.38,1.3,1.44,0.07,1.2,0.83,1.17,0.0,0.47,0.05,1.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.233,0.98,1,14.8,68.9,509.2,0.204,0.158,0.02,-0.037084,0.288562,-0.956743,-0.291844,0.340252,-0.893899,-0.17600000000000002,0.32799999999999996,0.0,0.95,0.0,0.66,1.3,1.53,0.05,1.09,0.76,1.03,0.0,0.39,0.04,1.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.267,0.98,1,13.6,66.7,508.4,0.19399999999999998,0.172,0.022000000000000002,-0.041645,0.303176,-0.952024,-0.300745,0.306566,-0.9030889999999999,-0.183,0.318,0.1,1.05,0.0,0.86,1.26,1.4,0.03,1.07,0.7,0.93,0.0,0.42,0.03,1.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.3,0.98,1,12.7,64.4,502.7,0.187,0.175,0.022000000000000002,-0.032228,0.284477,-0.958141,-0.309259,0.32178,-0.894884,-0.182,0.316,0.3,1.19,0.0,0.89,1.23,1.77,0.06,1.12,0.58,0.84,0.0,0.59,0.17,1.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.33299999999999996,0.98,1,12.2,63.3,499.6,0.19399999999999998,0.18100000000000002,0.019,-0.06234,0.297283,-0.952752,-0.312757,0.350027,-0.882986,-0.20199999999999999,0.33899999999999997,0.55,1.17,0.0,0.82,1.19,1.76,0.09,1.18,0.51,0.73,0.0,0.62,0.26,1.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.36700000000000005,0.98,1,11.9,62.5,497.8,0.201,0.18600000000000003,0.017,-0.058677999999999994,0.295543,-0.953526,-0.322585,0.342964,-0.8822209999999999,-0.205,0.335,0.58,1.11,0.0,0.75,1.12,1.58,0.11,1.05,0.36,0.52,0.08,0.55,0.31,1.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,0.98,1,11.3,60.6,491.5,0.228,0.188,0.017,-0.027295999999999997,0.311788,-0.949759,-0.294271,0.370132,-0.8811399999999999,-0.174,0.35700000000000004,0.55,0.97,0.0,0.58,1.16,1.36,0.09,1.02,0.33,0.32,0.09,0.53,0.27,1.01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.433,0.98,1,10.5,58.8,488.7,0.239,0.18899999999999997,0.018000000000000002,-0.041796,0.32447600000000004,-0.9449700000000001,-0.314164,0.38346399999999997,-0.8684790000000001,-0.19399999999999998,0.37200000000000005,0.43,0.8,0.0,0.53,1.2,1.25,0.07,0.94,0.28,0.23,0.09,0.63,0.24,1.01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.467,0.98,1,9.0,56.7,486.0,0.254,0.205,0.024,-0.017986000000000002,0.355483,-0.9345100000000001,-0.33289,0.374263,-0.8655120000000001,-0.193,0.385,0.45,0.56,0.0,0.41,1.28,1.34,0.06,1.04,0.3,0.19,0.04,0.74,0.22,0.95,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.5,0.98,1,8.1,54.9,487.8,0.257,0.212,0.024,-0.036005,0.355191,-0.9341,-0.326902,0.395992,-0.858094,-0.2,0.397,0.41,0.38,0.0,0.32,1.26,1.2,0.05,1.03,0.28,0.22,0.14,0.8,0.32,0.91,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,0.5329999999999999,0.98,1,7.9,53.0,488.7,0.249,0.215,0.024,-0.05485,0.345767,-0.936716,-0.30036999999999997,0.36633699999999997,-0.880667,-0.193,0.373,0.45,0.25,0.08,0.18,1.26,1.3,0.03,1.09,0.31,0.17,0.21,0.84,0.33,0.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,0.5670000000000001,0.98,1,7.9,52.9,488.2,0.254,0.221,0.016,-0.057416999999999996,0.35186,-0.93429,-0.296237,0.378325,-0.876991,-0.193,0.38299999999999995,0.52,0.5,0.08,0.1,1.22,1.31,0.0,1.02,0.31,0.16,0.25,0.85,0.4,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,0.6,0.98,1,7.9,51.2,488.6,0.244,0.222,0.017,-0.056358000000000005,0.336805,-0.9398860000000001,-0.342578,0.384619,-0.857151,-0.218,0.382,0.52,0.49,0.11,0.11,1.24,1.52,0.0,0.98,0.28,0.17,0.14,0.85,0.37,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,0.633,0.98,1,8.4,49.9,490.0,0.239,0.22,0.019,-0.048984,0.343891,-0.937731,-0.331815,0.370488,-0.867547,-0.20800000000000002,0.377,0.49,0.52,0.05,0.19,1.19,1.38,0.0,0.93,0.25,0.27,0.08,0.76,0.58,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,0.667,0.98,1,8.8,49.2,492.1,0.237,0.217,0.018000000000000002,-0.06521,0.350461,-0.9343040000000001,-0.302686,0.362503,-0.881461,-0.2,0.374,0.45,0.61,0.17,0.33,1.19,1.27,0.01,0.99,0.25,0.3,0.05,0.84,0.69,0.61,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,0.7,0.98,1,9.1,48.7,493.9,0.24600000000000002,0.217,0.015,-0.07263,0.354292,-0.9323100000000001,-0.30640100000000003,0.389529,-0.868554,-0.207,0.392,0.43,0.57,0.14,0.34,1.1,0.99,0.01,0.98,0.23,0.27,0.16,0.85,0.74,0.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,0.733,0.98,1,9.1,46.8,495.7,0.237,0.212,0.015,-0.058682000000000005,0.334189,-0.940678,-0.318222,0.387588,-0.865165,-0.20600000000000002,0.38,0.4,0.64,0.12,0.26,1.09,0.87,0.01,0.9,0.22,0.24,0.24,0.9,0.52,0.66,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,0.767,0.98,1,9.1,45.4,496.7,0.23600000000000002,0.214,0.013000000000000001,-0.036713,0.350722,-0.93576,-0.326137,0.38401599999999997,-0.863809,-0.19899999999999998,0.38799999999999996,0.27,0.41,0.0,0.21,1.05,0.85,0.0,0.83,0.19,0.25,0.3,0.79,0.45,0.72,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25,0.8,0.98,1,9.2,43.8,498.3,0.23600000000000002,0.20800000000000002,0.017,-0.049083,0.348511,-0.936019,-0.320023,0.394417,-0.8614059999999999,-0.203,0.392,0.29,0.54,0.0,0.24,1.08,0.91,0.0,0.85,0.18,0.22,0.26,0.79,0.55,0.73,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,0.833,0.98,1,9.5,42.2,498.7,0.235,0.209,0.017,-0.037232999999999995,0.343023,-0.9385889999999999,-0.298041,0.392088,-0.870309,-0.183,0.386,0.31,0.43,0.0,0.23,1.06,0.98,0.0,0.84,0.18,0.21,0.22,0.79,0.61,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,0.867,0.98,1,10.0,40.7,499.1,0.23199999999999998,0.204,0.019,-0.032197,0.369208,-0.928789,-0.30485300000000004,0.37341599999999997,-0.876142,-0.185,0.39,0.36,0.34,0.0,0.18,1.06,0.91,0.0,0.92,0.22,0.16,0.24,0.81,0.64,0.77,0.0,0.03,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,0.9,0.98,1,10.9,39.6,500.2,0.228,0.18600000000000003,0.022000000000000002,-0.061009,0.337528,-0.9393360000000001,-0.27924699999999997,0.388654,-0.8780479999999999,-0.185,0.38,0.22,0.17,0.0,0.12,1.04,0.95,0.0,0.85,0.27,0.21,0.25,0.74,0.63,0.8,0.0,0.03,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
